App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
21078_4.0_hadoop_testresolverwithnopreference,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21078_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21078_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
21073_4.0_hadoop_testlocalresolver,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21073_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21073_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
21058_4.0_hadoop_testdefaultnameserviceenable,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21058_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21058_actual.java,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true
21061_4.0_hadoop_testgetmountpoints,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21061_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21061_actual.java,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true
21066_4.0_hadoop_testremoveleafnode,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21066_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21066_actual.java,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true
21016_4.0_hadoop_testgetconnection,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21016_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21016_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
21017_4.0_hadoop_testvalidclientindex,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21017_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21017_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
21026_4.0_hadoop_testrouteridinrouterrpcclient,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21026_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21026_actual.java,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true
20998_4.0_hadoop_testaddordermounttable,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20998_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20998_actual.java,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
20985_4.0_hadoop_testgetchildrenpaths,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20985_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20985_actual.java,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
